"owner","plots","wealth","hhsize","draft","livestock","expenses","trees"
0,13,130000,17,1,4,94970,1
1,17,170000,29,6,40,94970,0
2,11,110000,28,3,3,94970,0
3,7,70000,12,1,1,94970,0
4,13,130000,12,3,8,94970,0
5,10,1e+05,19,2,7,94970,0
6,5,50000,8,0,0,94970,0
7,13,130000,18,2,6,94970,0
8,6,60000,11,2,10,94970,0
9,34,340000,80,6,30,94970,0
10,8,80000,5,2,4,94970,0
11,7,70000,10,0,0,94970,0
12,21,210000,47,4,20,94970,0
13,13,130000,35,4,30,94970,0
14,14,140000,22,5,30,94970,0
15,17,170000,32,4,40,94970,0
16,8,80000,8,3,6,94970,0
17,9,90000,15,0,0,94970,0
18,17,170000,61,9,80,94970,0
19,13,130000,15,3,12,94970,0
20,8,80000,7,1,1,94970,0
21,8,80000,15,2,4,94970,0
22,12,120000,21,2,4,94970,0
23,8,80000,21,0,0,94970,0
24,4,40000,2,0,0,94970,0
25,7,70000,8,2,5,94970,0
26,5,50000,6,0,2,94970,0
27,17,170000,37,4,30,94970,0
28,13,130000,24,2,2,94970,0
29,20,2e+05,22,2,2,94970,0
30,19,190000,19,2,2,94970,0
31,26,260000,22,1,0,94970,0
32,21,210000,6,2,3,94970,0
33,17,170000,10,0,0,94970,0
34,11,110000,9,0,0,94970,0
35,13,130000,14,0,0,94970,0
36,16,160000,22,0,0,94970,0
37,16,160000,11,1,1,94970,0
38,15,150000,15,1,0,94970,0
39,12,120000,10,0,0,94970,0
40,17,170000,16,2,2,94970,0
41,30,3e+05,50,2,4,94970,0
42,4,40000,8,0,0,94970,0
43,7,70000,6,0,0,94970,0
44,4,40000,8,0,0,94970,0
45,10,1e+05,12,0,0,94970,0
46,3,30000,7,0,0,94970,0
47,5,50000,11,0,0,94970,0
48,4,40000,10,0,0,94970,0
49,4,40000,10,2,2,94970,0
50,3,30000,10,2,2,94970,0
51,4,40000,10,1,1,94970,0
52,32,320000,54,2,4,94970,0
53,9,90000,5,2,2,94970,0
54,2,20000,4,0,0,94970,0
55,4,40000,6,1,1,94970,0
56,8,80000,11,2,2,94970,0
57,4,40000,7,1,1,94970,0
58,2,20000,2,0,0,94970,0
59,6,60000,4,1,1,94970,0
60,4,40000,6,0,0,94970,0
61,21,210000,24,2,2,94970,0
62,21,210000,19,0,0,94970,0
63,23,230000,28,2,2,94970,0
64,13,130000,9,0,0,94970,0
65,20,2e+05,16,2,2,94970,0
66,20,2e+05,21,0,0,94970,0
